able
agilemangabey
aldo
allensswampmonkey
amazonblackhowler
andross
angolantalapoin
ape-x
aracáuakari
arunachalmacaque
ashyblacktiti
assammacaque
atlantictiti
azarasnightmonkey
balduakari
balemountainsvervet
bandedsurili
baptistalaketiti
barbarabrownstiti
barbarymacaque
bare-earedsquirrelmonkey
bingo
binks
blackbeardedsaki
blackcapuchin
blackcrestedmangabey
blackhowler
blackliontamarin
blacksnub-nosedmonkey
blacksquirrelmonkey
blacktamarin
blacktiti
black-cappedsquirrelmonkey
black-footedgraylangur
black-frontedtiti
black-headedmarmoset
black-headednightmonkey
black-headedspidermonkey
black-headeduakari
black-mantledtamarin
black-shankeddouc
black-stripedcapuchin
black-tailedmarmoset
black-tuftedmarmoset
blondcapuchin
bluemonkey
bolivianredhowler
bonnetmacaque
bootedmacaque
britches
brownhowler
brownspidermonkey
browntiti
brownwoollymonkey
brown-backedbeardedsaki
brown-mantledtamarin
brumbacksnightmonkey
buffy-headedmarmoset
buffy-tuftedmarmoset
campbellsmonamonkey
cappedlangur
celebescrestedmacaque
centralamericansquirrelmonkey
chacmababoon
chestnut-belliedtiti
coastalblack-handedtiti
coibaislandhowler
coimbrafilhostiti
collaredmangabey
collaredtiti
colombianblack-handedtiti
colombianwoollymonkey
commonsquirrelmonkey
congathegorilla
copperytiti
cottontoptamarin
crab-eatingmacaque
crestedmonamonkey
crystal
debrazzasmonkey
delacourslangur
dentsmonamonkey
dianamonkey
donkeykong
drill
dryasmonkey
duskyleafmonkey
emiliasmarmoset
emperortamarin
equatorialsaki
finster
formosanrockmacaque
francinefrensky
françoislangur
fred
gabontalapoin
geesgoldenlangur
gelada
geoffroysspidermonkey
geoffroystamarin
goeldismarmoset
gold-and-whitemarmoset
goldenliontamarin
goldenmonkey
goldensnub-nosedmonkey
golden-belliedcapuchin
golden-belliedmangabey
golden-headedliontamarin
golden-mantledtamarin
gordo
gorontalomacaque
govi
graellsstamarin
graysnub-nosedmonkey
graywoollymonkey
gray-belliednightmonkey
gray-handednightmonkey
gray-shankeddouc
greaterspot-nosedmonkey
greenmonkey
grey-cheekedmangabey
grivet
guatemalanblackhowler
guineababoon
guyananredhowler
hamadryasbaboon
hamlynsmonkey
hatinhlangur
hecksmacaque
hellion
hernández-camachosnightmonkey
hershkovitzsmarmoset
hershkovitzstiti
hoffmannsstiti
hoseslangur
indochineseblacklangur
indochineselutung
ishmael
jack
japanesemacaque
javanlutung
javansurili
johnstonsmangabey
kaaporicapuchin
kashmirgraylangur
katie
kingkong
kipunji
lhoestsmonkey
laotianlangur
lazlo
lesserspot-nosedmonkey
lion-tailedmacaque
lowesmonamonkey
lucifertiti
madidititi
magillagorilla
malbrouck
mandrill
manicoremarmoset
mantledhowler
marcasmarmoset
maroonleafmonkey
martinsstamarin
mauésmarmoset
mentawailangur
mightyjoeyoung
missbaker,wi
misssam
monamonkey
monksaki
monsieurmallah
moormacaque
mottle-facedtamarin
moustachedguenon
moustachedtamarin
nancymasnightmonkey
natunaislandsurili
neblinauakari
nepalgraylangur
nilgirilangur
northernmuriqui
northernpig-tailedmacaque
northernplainsgraylangur
olivebaboon
ollalabrotherstiti
opdenboschsmangabey
ornatetiti
osmanhillsmangabey
pagaiislandmacaque
panamaniannightmonkey
patasmonkey
peruviannightmonkey
peruvianspidermonkey
phayresleafmonkey
piedtamarin
pig-tailedlangur
pipsqueak
preusssmonkey
princebernhardstiti
proboscismonkey
professorbobo
purple-facedlangur
pygmymarmoset
rafiki
ramu
red-backedbeardedsaki
red-belliedtiti
red-cappedtamarin
red-earedguenon
red-facedspidermonkey
red-handedhowler
red-handedtamarin
red-headedtiti
red-shankeddouc
red-tailedmonkey
rhesusmacaque
rioacarimarmoset
riobenititi
riomayotiti
riopurustiti
riotapajóssaki
rolowaymonkey
roosmalensdwarfmarmoset
sanjemangabey
santaremmarmoset
sarawaksurili
sclatersguenon
shortridgeslangur
siberutmacaque
silvermonkey
silverylutung
silverymarmoset
silverywoollymonkey
sootymangabey
southernmuriqui
southernpig-tailedmacaque
southernplainsgraylangur
spixsnightmonkey
stephennashstiti
stump-tailedmacaque
sumatransurili
sun-tailedmonkey
superaguiliontamarin
sykessmonkey
tanarivermangabey
tantalusmonkey
taraigraylangur
tenasserimlutung
thelibrarian
thomasslangur
three-stripednightmonkey
tibetanmacaque
titano
tonkeanmacaque
tonkinsnub-nosedlangur
toquemacaque
tuftedcapuchin
tuftedgraylangur
ugandamangabey
utahicksbeardedsaki
venezuelanredhowler
vervetmonkey
weepercapuchin
whitemarmoset
white-cheekedspidermonkey
white-coatedtiti
white-earedtiti
white-facedsaki
white-footedsaki
white-footedtamarin
white-frontedcapuchin
white-frontedspidermonkey
white-frontedsurili
white-headedcapuchin
white-headedlangur
white-headedmarmoset
white-lippedtamarin
white-mantledtamarin
white-nosedsaki
white-tailedtiti
white-thighedsurili
white-throatedguenon
wiedsmarmoset
wolfsmonamonkey
yellowbaboon
yellow-tailedwoollymonkey
zoboomafoo
